Game{name= Shift 2: Unleashed, platform= PC, developer= Slightly Mad Studios, genre= Driving, numberPlayers= , rating= E10+, releaseDate= Mar 29, 2011, positiveCritics= 23, neutralCritics= 1, negativeCritics= 0, positiveUsers= 29, neutralUsers= 14, negativeUsers= 37, metaScore= 84, userScore= 62}

Game{name= DiRT 3, platform= PC, developer= Codemasters, genre= Driving, numberPlayers= , rating= T, releaseDate= May 23, 2011, positiveCritics= 21, neutralCritics= 2, negativeCritics= 0, positiveUsers= 48, neutralUsers= 30, negativeUsers= 31, metaScore= 86, userScore= 70}

Game{name= TrackMania 2 Canyon, platform= PC, developer= Nadeo, genre= Driving, numberPlayers= , rating= E, releaseDate= Sep 14, 2011, positiveCritics= 30, neutralCritics= 7, negativeCritics= 0, positiveUsers= 11, neutralUsers= 3, negativeUsers= 6, metaScore= 81, userScore= 77}

Game{name= F1 2011, platform= PC, developer= Codemasters, genre= Driving, numberPlayers= , rating= E, releaseDate= Sep 19, 2011, positiveCritics= 8, neutralCritics= 2, negativeCritics= 0, positiveUsers= 8, neutralUsers= 3, negativeUsers= 4, metaScore= 83, userScore= 71}

Game{name= Driver: San Francisco, platform= PC, developer= Ubisoft Reflections, genre= Driving, numberPlayers= , rating= T, releaseDate= Sep 27, 2011, positiveCritics= 10, neutralCritics= 1, negativeCritics= 0, positiveUsers= 37, neutralUsers= 16, negativeUsers= 13, metaScore= 80, userScore= 71}

Game{name= Mario Kart 7, platform= 3DS, developer= Retro Studios, Entertainment Analysis & Development Division, genre= Driving, numberPlayers= Up to 8 , rating= E, releaseDate= Dec  4, 2011, positiveCritics= 64, neutralCritics= 9, negativeCritics= 0, positiveUsers= 157, neutralUsers= 45, negativeUsers= 7, metaScore= 85, userScore= 83}

Game{name= F1 2012, platform= PC, developer= Codemasters, genre= Driving, numberPlayers= , rating= E, releaseDate= Sep 17, 2012, positiveCritics= 12, neutralCritics= 3, negativeCritics= 0, positiveUsers= 11, neutralUsers= 4, negativeUsers= 8, metaScore= 80, userScore= 71}

Game{name= Need for Speed: Most Wanted U, platform= WIIU, developer= Criterion Games, genre= Driving, numberPlayers= , rating= E10+, releaseDate= Mar 19, 2013, positiveCritics= 36, neutralCritics= 0, negativeCritics= 0, positiveUsers= 23, neutralUsers= 5, negativeUsers= 8, metaScore= 86, userScore= 76}

Game{name= Trials Evolution: Gold Edition, platform= PC, developer= RedLynx, genre= Driving, numberPlayers= , rating= E10+, releaseDate= Mar 21, 2013, positiveCritics= 10, neutralCritics= 0, negativeCritics= 0, positiveUsers= 14, neutralUsers= 4, negativeUsers= 17, metaScore= 85, userScore= 68}

Game{name= GRID 2, platform= PC, developer= Codemasters, genre= Driving, numberPlayers= , rating= E, releaseDate= May 27, 2013, positiveCritics= 15, neutralCritics= 2, negativeCritics= 0, positiveUsers= 39, neutralUsers= 32, negativeUsers= 73, metaScore= 80, userScore= 58}

Game{name= Need for Speed: Rivals, platform= PS4, developer= Ghost Games, genre= Driving, numberPlayers= Up to 6 , rating= E10+, releaseDate= Nov 15, 2013, positiveCritics= 42, neutralCritics= 11, negativeCritics= 0, positiveUsers= 47, neutralUsers= 38, negativeUsers= 31, metaScore= 80, userScore= 62}

Game{name= Trials Fusion, platform= PC, developer= RedLynx, genre= Driving, numberPlayers= , rating= E10+, releaseDate= Apr 16, 2014, positiveCritics= 11, neutralCritics= 1, negativeCritics= 0, positiveUsers= 5, neutralUsers= 6, negativeUsers= 7, metaScore= 80, userScore= 69}

Game{name= Trials Fusion, platform= XONE, developer= RedLynx, genre= Driving, numberPlayers= , rating= E10+, releaseDate= Apr 16, 2014, positiveCritics= 24, neutralCritics= 4, negativeCritics= 0, positiveUsers= 22, neutralUsers= 9, negativeUsers= 9, metaScore= 80, userScore= 71}

Game{name= Mario Kart 8, platform= WIIU, developer= Nintendo, genre= Driving, numberPlayers= Up to 12 , rating= E, releaseDate= May 30, 2014, positiveCritics= 80, neutralCritics= 2, negativeCritics= 0, positiveUsers= 386, neutralUsers= 41, negativeUsers= 10, metaScore= 88, userScore= 89}

Game{name= Forza Horizon 2, platform= XONE, developer= Playground Games, genre= Driving, numberPlayers= Up to 12 , rating= , releaseDate= Sep 30, 2014, positiveCritics= 81, neutralCritics= 3, negativeCritics= 1, positiveUsers= 183, neutralUsers= 8, negativeUsers= 10, metaScore= 86, userScore= 83}

Game{name= Mario Kart 8 DLC Pack 1, platform= WIIU, developer= Nintendo, genre= Driving, numberPlayers= , rating= E, releaseDate= Nov 13, 2014, positiveCritics= 7, neutralCritics= 0, negativeCritics= 0, positiveUsers= 36, neutralUsers= 2, negativeUsers= 4, metaScore= 87, userScore= 90}

Game{name= Forza Horizon 2: Storm Island, platform= XONE, developer= Playground Games, genre= Driving, numberPlayers= , rating= E10+, releaseDate= Dec 16, 2014, positiveCritics= 16, neutralCritics= 3, negativeCritics= 0, positiveUsers= 2, neutralUsers= 1, negativeUsers= 2, metaScore= 82, userScore= 73}

Game{name= Assetto Corsa, platform= PC, developer= Kunos Simulazioni, genre= Driving, numberPlayers= Online Multiplayer, rating= E, releaseDate= Dec 19, 2014, positiveCritics= 16, neutralCritics= 1, negativeCritics= 0, positiveUsers= 57, neutralUsers= 8, negativeUsers= 10, metaScore= 85, userScore= 84}

Game{name= 3D Out Run, platform= 3DS, developer= M2, genre= Driving, numberPlayers= No Online Multiplayer, rating= E, releaseDate= Mar 12, 2015, positiveCritics= 12, neutralCritics= 2, negativeCritics= 0, positiveUsers= 5, neutralUsers= 0, negativeUsers= 0, metaScore= 87, userScore= 83}

Game{name= Mario Kart 8 DLC Pack 2, platform= WIIU, developer= Nintendo, genre= Driving, numberPlayers= , rating= E, releaseDate= Apr 23, 2015, positiveCritics= 11, neutralCritics= 0, negativeCritics= 0, positiveUsers= 32, neutralUsers= 1, negativeUsers= 2, metaScore= 90, userScore= 89}

Game{name= Project CARS, platform= PC, developer= Slightly Mad Studios, genre= Driving, numberPlayers= , rating= E, releaseDate= May  6, 2015, positiveCritics= 42, neutralCritics= 6, negativeCritics= 0, positiveUsers= 56, neutralUsers= 18, negativeUsers= 27, metaScore= 83, userScore= 71}

Game{name= Project CARS, platform= PS4, developer= Slightly Mad Studios, genre= Driving, numberPlayers= Up to 16 , rating= E, releaseDate= May 12, 2015, positiveCritics= 33, neutralCritics= 4, negativeCritics= 0, positiveUsers= 43, neutralUsers= 21, negativeUsers= 19, metaScore= 83, userScore= 66}

Game{name= Project CARS, platform= XONE, developer= Slightly Mad Studios, genre= Driving, numberPlayers= Up to 16 , rating= E, releaseDate= May 12, 2015, positiveCritics= 13, neutralCritics= 3, negativeCritics= 0, positiveUsers= 16, neutralUsers= 6, negativeUsers= 21, metaScore= 81, userScore= 58}

Game{name= Forza Motorsport 6, platform= XONE, developer= Turn 10, genre= Driving, numberPlayers= Up to 24 , rating= E, releaseDate= Sep 15, 2015, positiveCritics= 82, neutralCritics= 3, negativeCritics= 0, positiveUsers= 104, neutralUsers= 20, negativeUsers= 16, metaScore= 87, userScore= 77}

Game{name= FAST Racing NEO, platform= WIIU, developer= 'Shin''en', genre= Driving, numberPlayers= , rating= E, releaseDate= Dec 10, 2015, positiveCritics= 40, neutralCritics= 6, negativeCritics= 0, positiveUsers= 37, neutralUsers= 5, negativeUsers= 2, metaScore= 81, userScore= 86}

Game{name= Wreckfest, platform= PC, developer= Bugbear, genre= Driving, numberPlayers= Online Multiplayer, rating= T, releaseDate= Jun 14, 2018, positiveCritics= 27, neutralCritics= 5, negativeCritics= 0, positiveUsers= 17, neutralUsers= 4, negativeUsers= 1, metaScore= 81, userScore= 76}

