Game{name= Bulletstorm, platform= PC, developer= Epic Games, People Can Fly, genre= General, numberPlayers= , rating= M, releaseDate= Feb 21, 2011, positiveCritics= 30, neutralCritics= 4, negativeCritics= 0, positiveUsers= 110, neutralUsers= 39, negativeUsers= 34, metaScore= 82, userScore= 77}

Game{name= Super Stardust Delta, platform= VITA, developer= Housemarque, genre= General, numberPlayers= , rating= E, releaseDate= Feb 14, 2012, positiveCritics= 39, neutralCritics= 3, negativeCritics= 0, positiveUsers= 12, neutralUsers= 1, negativeUsers= 0, metaScore= 82, userScore= 80}

Game{name= Guild Wars 2, platform= PC, developer= ArenaNet, genre= General, numberPlayers= Massively Multiplayer, rating= T, releaseDate= Aug 28, 2012, positiveCritics= 68, neutralCritics= 1, negativeCritics= 0, positiveUsers= 649, neutralUsers= 134, negativeUsers= 152, metaScore= 90, userScore= 81}

Game{name= Dota 2, platform= PC, developer= Valve Software, genre= General, numberPlayers= Up to 10 , rating= , releaseDate= Jul  9, 2013, positiveCritics= 32, neutralCritics= 1, negativeCritics= 0, positiveUsers= 1784, neutralUsers= 118, negativeUsers= 1674, metaScore= 90, userScore= 65}

Game{name= flower, platform= PS4, developer= Bluepoint Games, genre= General, numberPlayers= 1 Player, rating= E, releaseDate= Nov 15, 2013, positiveCritics= 11, neutralCritics= 0, negativeCritics= 0, positiveUsers= 48, neutralUsers= 16, negativeUsers= 26, metaScore= 91, userScore= 72}

Game{name= Tearaway, platform= VITA, developer= Media Molecule, genre= General, numberPlayers= , rating= E, releaseDate= Nov 22, 2013, positiveCritics= 76, neutralCritics= 6, negativeCritics= 0, positiveUsers= 69, neutralUsers= 4, negativeUsers= 0, metaScore= 87, userScore= 89}

Game{name= Nidhogg, platform= PC, developer= Messhof, genre= General, numberPlayers= 1-2 , rating= , releaseDate= Jan 13, 2014, positiveCritics= 35, neutralCritics= 8, negativeCritics= 0, positiveUsers= 14, neutralUsers= 9, negativeUsers= 6, metaScore= 81, userScore= 68}

Game{name= Broken Age: Act 1, platform= PC, developer= Double Fine Productions, genre= General, numberPlayers= No Online Multiplayer, rating= , releaseDate= Jan 28, 2014, positiveCritics= 54, neutralCritics= 10, negativeCritics= 0, positiveUsers= 48, neutralUsers= 11, negativeUsers= 13, metaScore= 82, userScore= 77}

Game{name= Shadowrun: Dragonfall, platform= PC, developer= Harebrained Schemes LLC, genre= General, numberPlayers= , rating= , releaseDate= Feb 27, 2014, positiveCritics= 20, neutralCritics= 4, negativeCritics= 0, positiveUsers= 31, neutralUsers= 7, negativeUsers= 3, metaScore= 81, userScore= 82}

Game{name= Professor Layton and the Azran Legacy, platform= 3DS, developer= Level 5, genre= General, numberPlayers= No Online Multiplayer, rating= E10+, releaseDate= Feb 28, 2014, positiveCritics= 48, neutralCritics= 10, negativeCritics= 0, positiveUsers= 9, neutralUsers= 2, negativeUsers= 1, metaScore= 81, userScore= 81}

Game{name= The Walking Dead: Season Two Episode 2 - A House Divided, platform= PC, developer= Telltale Games, genre= General, numberPlayers= , rating= M, releaseDate= Mar  4, 2014, positiveCritics= 31, neutralCritics= 9, negativeCritics= 0, positiveUsers= 37, neutralUsers= 10, negativeUsers= 6, metaScore= 81, userScore= 85}

Game{name= Luftrausers, platform= PC, developer= Vlambeer, genre= General, numberPlayers= , rating= E, releaseDate= Mar 18, 2014, positiveCritics= 35, neutralCritics= 10, negativeCritics= 0, positiveUsers= 5, neutralUsers= 7, negativeUsers= 0, metaScore= 80, userScore= 68}

Game{name= ETHER One, platform= PC, developer= White Paper Games, genre= General, numberPlayers= , rating= E10+, releaseDate= Mar 25, 2014, positiveCritics= 16, neutralCritics= 4, negativeCritics= 0, positiveUsers= 2, neutralUsers= 2, negativeUsers= 1, metaScore= 82, userScore= 69}

Game{name= The Blackwell Epiphany, platform= PC, developer= Wadjet Eye Games, genre= General, numberPlayers= , rating= , releaseDate= Apr 24, 2014, positiveCritics= 13, neutralCritics= 1, negativeCritics= 0, positiveUsers= 8, neutralUsers= 0, negativeUsers= 0, metaScore= 83, userScore= 77}

Game{name= Kirby: Triple Deluxe, platform= 3DS, developer= HAL Labs, genre= General, numberPlayers= No Online Multiplayer, rating= E, releaseDate= May  2, 2014, positiveCritics= 54, neutralCritics= 14, negativeCritics= 0, positiveUsers= 54, neutralUsers= 5, negativeUsers= 0, metaScore= 80, userScore= 87}

Game{name= Kero Blaster, platform= PC, developer= Studio Pixel, genre= General, numberPlayers= No Online Multiplayer, rating= , releaseDate= May 11, 2014, positiveCritics= 13, neutralCritics= 0, negativeCritics= 1, positiveUsers= 3, neutralUsers= 0, negativeUsers= 0, metaScore= 82, userScore= 73}

Game{name= 'The Walking Dead: Season Two Episode 3 - In Harm''s Way', platform= PC, developer= Telltale Games, genre= General, numberPlayers= , rating= M, releaseDate= May 13, 2014, positiveCritics= 32, neutralCritics= 7, negativeCritics= 0, positiveUsers= 27, neutralUsers= 10, negativeUsers= 2, metaScore= 81, userScore= 83}

Game{name= Wolfenstein: The New Order, platform= PC, developer= MachineGames, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= May 19, 2014, positiveCritics= 20, neutralCritics= 3, negativeCritics= 0, positiveUsers= 277, neutralUsers= 60, negativeUsers= 46, metaScore= 81, userScore= 82}

Game{name= Frozen Synapse Prime, platform= VITA, developer= Double Eleven, genre= General, numberPlayers= , rating= T, releaseDate= Sep 23, 2014, positiveCritics= 15, neutralCritics= 1, negativeCritics= 0, positiveUsers= 1, neutralUsers= 0, negativeUsers= 1, metaScore= 84, userScore= 72}

Game{name= DG2: Defense Grid 2, platform= PC, developer= Hidden Path Entertainment, genre= General, numberPlayers= , rating= , releaseDate= Sep 23, 2014, positiveCritics= 19, neutralCritics= 2, negativeCritics= 0, positiveUsers= 10, neutralUsers= 5, negativeUsers= 7, metaScore= 81, userScore= 68}

Game{name= Sunset Overdrive, platform= XONE, developer= Insomniac Games, genre= General, numberPlayers= Up to 8 , rating= M, releaseDate= Oct 28, 2014, positiveCritics= 72, neutralCritics= 17, negativeCritics= 0, positiveUsers= 249, neutralUsers= 41, negativeUsers= 24, metaScore= 81, userScore= 78}

Game{name= Valkyria Chronicles, platform= PC, developer= Sega, genre= General, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Nov 11, 2014, positiveCritics= 23, neutralCritics= 1, negativeCritics= 0, positiveUsers= 46, neutralUsers= 10, negativeUsers= 4, metaScore= 85, userScore= 82}

Game{name= Dragon Age: Inquisition, platform= PS4, developer= BioWare, genre= General, numberPlayers= Up to 4 , rating= M, releaseDate= Nov 18, 2014, positiveCritics= 42, neutralCritics= 1, negativeCritics= 0, positiveUsers= 300, neutralUsers= 89, negativeUsers= 53, metaScore= 89, userScore= 74}

Game{name= Dragon Age: Inquisition, platform= XONE, developer= BioWare, genre= General, numberPlayers= Up to 4 , rating= M, releaseDate= Nov 18, 2014, positiveCritics= 24, neutralCritics= 4, negativeCritics= 0, positiveUsers= 98, neutralUsers= 30, negativeUsers= 30, metaScore= 85, userScore= 70}

