Game{name= Rift, platform= PC, developer= Trion Worlds, genre= Role-Playing, numberPlayers= Online Multiplayer, rating= T, releaseDate= Mar  1, 2011, positiveCritics= 56, neutralCritics= 3, negativeCritics= 0, positiveUsers= 121, neutralUsers= 51, negativeUsers= 47, metaScore= 84, userScore= 73}

Game{name= Dragon Age II, platform= PC, developer= BioWare, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Mar  8, 2011, positiveCritics= 38, neutralCritics= 7, negativeCritics= 0, positiveUsers= 364, neutralUsers= 291, negativeUsers= 1017, metaScore= 82, userScore= 45}

Game{name= The Witcher 2: Assassins of Kings, platform= PC, developer= CD Projekt Red Studio, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= May 17, 2011, positiveCritics= 70, neutralCritics= 6, negativeCritics= 0, positiveUsers= 1155, neutralUsers= 127, negativeUsers= 77, metaScore= 88, userScore= 85}

Game{name= Fallout: New Vegas - Old World Blues, platform= PC, developer= Obsidian Entertainment, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= Jul 19, 2011, positiveCritics= 14, neutralCritics= 3, negativeCritics= 0, positiveUsers= 29, neutralUsers= 10, negativeUsers= 5, metaScore= 82, userScore= 77}

Game{name= Dungeon Defenders, platform= PC, developer= Trendy Entertainment, genre= Role-Playing, numberPlayers= , rating= E10+, releaseDate= Oct 18, 2011, positiveCritics= 21, neutralCritics= 5, negativeCritics= 0, positiveUsers= 82, neutralUsers= 28, negativeUsers= 29, metaScore= 81, userScore= 73}

Game{name= To the Moon, platform= PC, developer= Freebird Games, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= , releaseDate= Nov  1, 2011, positiveCritics= 22, neutralCritics= 4, negativeCritics= 0, positiveUsers= 209, neutralUsers= 17, negativeUsers= 15, metaScore= 81, userScore= 89}

Game{name= The Elder Scrolls V: Skyrim, platform= PC, developer= Bethesda Game Studios, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Nov 10, 2011, positiveCritics= 32, neutralCritics= 0, negativeCritics= 0, positiveUsers= 1616, neutralUsers= 322, negativeUsers= 451, metaScore= 94, userScore= 82}

Game{name= Kingdoms of Amalur: Reckoning, platform= PC, developer= Big Huge Games, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Feb  7, 2012, positiveCritics= 22, neutralCritics= 3, negativeCritics= 0, positiveUsers= 201, neutralUsers= 101, negativeUsers= 54, metaScore= 81, userScore= 67}

Game{name= Mass Effect 3, platform= PC, developer= BioWare, genre= Role-Playing, numberPlayers= Up to 4 , rating= M, releaseDate= Mar  6, 2012, positiveCritics= 23, neutralCritics= 0, negativeCritics= 0, positiveUsers= 641, neutralUsers= 334, negativeUsers= 1038, metaScore= 89, userScore= 58}

Game{name= Legend of Grimrock, platform= PC, developer= Almost Human, genre= Role-Playing, numberPlayers= , rating= , releaseDate= Apr 11, 2012, positiveCritics= 46, neutralCritics= 5, negativeCritics= 0, positiveUsers= 137, neutralUsers= 24, negativeUsers= 17, metaScore= 82, userScore= 81}

Game{name= Diablo III, platform= PC, developer= Blizzard Entertainment, genre= Role-Playing, numberPlayers= Up to 4 , rating= M, releaseDate= May 15, 2012, positiveCritics= 81, neutralCritics= 4, negativeCritics= 1, positiveUsers= 1178, neutralUsers= 506, negativeUsers= 2998, metaScore= 88, userScore= 41}

Game{name= Dark Souls: Prepare to Die Edition, platform= PC, developer= From Software, genre= Role-Playing, numberPlayers= Online Multiplayer, rating= M, releaseDate= Aug 24, 2012, positiveCritics= 36, neutralCritics= 5, negativeCritics= 1, positiveUsers= 371, neutralUsers= 61, negativeUsers= 153, metaScore= 85, userScore= 76}

