Game{name= FIFA Soccer 12, platform= PC, developer= Electronic Arts, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 27, 2011, positiveCritics= 14, neutralCritics= 0, negativeCritics= 0, positiveUsers= 33, neutralUsers= 8, negativeUsers= 10, metaScore= 89, userScore= 71}

Game{name= Football Manager 2012, platform= PC, developer= Sports Interactive, genre= Sports, numberPlayers= , rating= E, releaseDate= Oct 20, 2011, positiveCritics= 43, neutralCritics= 2, negativeCritics= 0, positiveUsers= 22, neutralUsers= 5, negativeUsers= 4, metaScore= 84, userScore= 79}

Game{name= Out of the Park Baseball 13, platform= PC, developer= Out Of The Park Developments, genre= Sports, numberPlayers= , rating= , releaseDate= Apr  9, 2012, positiveCritics= 7, neutralCritics= 1, negativeCritics= 0, positiveUsers= 40, neutralUsers= 0, negativeUsers= 2, metaScore= 85, userScore= 78}

Game{name= FIFA Soccer 13, platform= PC, developer= Electronic Arts, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 25, 2012, positiveCritics= 7, neutralCritics= 0, negativeCritics= 0, positiveUsers= 17, neutralUsers= 9, negativeUsers= 19, metaScore= 86, userScore= 66}

Game{name= Pro Evolution Soccer 2013, platform= PC, developer= Konami, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 25, 2012, positiveCritics= 6, neutralCritics= 2, negativeCritics= 0, positiveUsers= 17, neutralUsers= 3, negativeUsers= 2, metaScore= 80, userScore= 69}

Game{name= Football Manager 2013, platform= PC, developer= Sports Interactive, genre= Sports, numberPlayers= , rating= , releaseDate= Nov  1, 2012, positiveCritics= 35, neutralCritics= 2, negativeCritics= 0, positiveUsers= 19, neutralUsers= 10, negativeUsers= 19, metaScore= 86, userScore= 68}

Game{name= NBA 2K13, platform= WIIU, developer= Visual Concepts, genre= Sports, numberPlayers= 1 Player, rating= E, releaseDate= Nov 18, 2012, positiveCritics= 16, neutralCritics= 1, negativeCritics= 0, positiveUsers= 6, neutralUsers= 1, negativeUsers= 0, metaScore= 85, userScore= 71}

